words,property,detail
circumcise,의미:,"cut off the foreskin of (a young boy or man, especially a baby) as a religious rite, especially in Judaism and Islam, or as a medical treatment."
circumspect,의미:,careful to consider all circumstances and possible consequences
circumspect,예문:,"Just be your most careful, circumspect self."
circumvent,의미:,find a way around (an obstacle).
circumvent,예문:,methods which can easily be circumvented by one skilled in the art.
close on sth,의미:,
close on sth,예문:,SolidEnergy systems just closed on a funding round of $34 million.
closed-off,의미:,block off the passage through
closed-off,예문:,"a party for all the residents of a block or neighborhood, typically held on a closed-off city street."
clout,의미:,"As an FMP, you have exactly ZERO formal, hierarchical clout"
clout,예문:,"influence or power, especially in politics or business."
Coalesce,의미:,come together and form one mass or whole.
Coalesce,예문:,the puddles had coalesced into shallow streams
collegial,의미:,having or showing kindly feeling and sincere interest
collegial,예문:,"Even if you are collegial and fairly relaxed, your language will vary somewhat depending on your relationship with the recipient."
Collegiate,의미:,belonging or relating to a college or its students (i saw this word on a banner hung on the glass wall of the bookstore)
Collegiate,예문:,collegiate products
come across as,의미:,"seem, look, seem to be"
come across as,예문:,Make lots of mistakes and you'll come across as uneducated and uninformed
come away with,의미:,to leave a place with a particular feeling or impression
come away with,예문:,We came away with the impression that all was not well with their marriage.
come of age,의미:,"If something comes of age, it reaches an important stage of development and is accepted by a large number of people."
come of age,예문:,Recycling is an issue that has come of age in Britain in the last decade.
come of age,예문:,Tesla's giant Australian battery is proof that storage is coming of age
come out of the woodwork,의미:,"To appear unexpectedly, or from unexpected places."
come out of the woodwork,예문:,"No one had anything negative to say when I first pitched this idea, but now people are coming out of the woodwork to criticize it."
Commonality,의미:,the state of sharing features or attributes.
Commonality,예문:,"""a commonality of interest ensures cooperation"
complicit,의미:,helping to commit a crime or do wrong in some way
complicit,예문:,For Sodini all women were complicit in denying him
complicit,예문:,He was complicit in the cover-up
complicit,예문:,shell complicit in human rights abuses
comportment,의미:,behavior; bearing.
comportment,예문:,what is announced in the comportment of superiors is confidence and ease.
Compulsive lying,의미:,
concussion,의미:,A brain injury caused by a blow to the head or a violent shaking of the head and body.
condemnation,의미:,The seizure of a property by a public authority for a public purpose
condemnation,예문:,"Sometimes an asset’s service is terminated through some type of involuntary conversion such as fire, flood, theft, or condemnation."
conducive to,의미:,tending to promote or assist
conducive to,예문:,Students were seated alphabetically or arranged in other ways conducive to an orderly classroom.
conflate,의미:,"to combine (things, such as two readings of a text) into a composite whole"
conflate,예문:,the plot gets weighed down when the writers conflate too many issues into one episode
abrasion,의미:,
abrasion,예문:,Conflict is essential to innovation. The key is to make the abrasion creative.
conscientious,의미:,"(of a person) wishing to do what is right, especially to do one's work or duty well and thoroughly."
conscientious,예문:,I'm too conscientious to not care about work.
Consideration,의미:,a payment or reward
Consideration,예문:,This consideration should be recognized as revenue based on the fair value of the consideartion received
constituency,의미:,a body of customers or supporters.
constituency,예문:,a constituency of racing fans
constituent,의미:,a member of a constituency.
constituent,예문:,I was able to learn about strategies to increase my individualized communication skills that would aid in supporting key constituents.
contraception,의미:,"the deliberate use of artificial methods or other techniques to prevent pregnancy as a consequence of sexual intercourse. The major forms of artificial contraception are barrier methods, of which the most common is the condom; the contraceptive pill, which contains synthetic sex hormones that prevent ovulation in the female; intrauterine devices, such as the coil, which prevent the fertilized ovum from implanting in the uterus; and male or female sterilization."
contraception,예문:,"It’s often used in opposition with “abstinence-only,” but that only means that, at a baseline, it includes information about contraception and sexually transmitted diseases."
courtesy of,의미:,
courtesy of,예문:,"China gets a bad rap on environmental issues a lot of the time, courtesy of its massive industrial sector and hugely populated mega cities."
crate,의미:,a slatted wooden case used for transporting or storing goods.
crate,예문:,What is the static budget number of crates for 2014 2014?
criminal rogue region,의미:,
crook (informal),의미:,a person who is dishonest or a criminal.
crook (informal),예문:,He's a crook.
crosshairs,의미:,"a pair of fine wires or lines crossing at right angles at the focus of an optical instrument or gun sight, for use in positioning, aiming, or measuring."
crosshairs,예문:,American farmers in crosshairs of Trump's trade war with China
crux,의미:,
Culmination,의미:,
Culmination,예문:,"The culmination of the process is the revenue recognition principle, which states that revenue is recognized when the performance obligation is satisfied"
cumbersome,의미:,
cumbersome,예문:,This will be very cumbersome
Cut me some slack,의미:,
Cut me some slack,예문:,allow someone some leeway in their conduct
cutthroat,의미:,(of a competitive situation or activity) fierce and intense; involving the use of ruthless measures.
cutthroat,예문:,it's a cutthroat world.
cutthroat,예문:,"So far, so good for Cornell, who's putting $7 billion on the line to remodel Target in the cutthroat world of retail"
deal,의미:,To administer; deliver
deal,예문:,dealt him a blow to the stomach.
deal,예문:,"Those problems blew up when he left. The most obvious example is GE Capital, the finance company that dealt GE a near-fatal blow during the 2008 crisis."
debunk,의미:,"If you debunk a widely held belief, you show that it is false. If you debunk something that is widely admired, you show that it is not as good as people think it is."
debunk,예문:,Historian Michael Beschloss debunks a few myths.
decimate,의미:,
decimate,예문:,"Trump says he'll impose a 25 per cent steel tariff, which could 'decimate' Canada's industry ? if it applies"
Deer in headlight,의미:,
degenerate,의미:,"decline or deteriorate physically, mentally, or morally."
degenerate,예문:,"women suffer even more than men from the stress of working, and more readily degenerate"
delve into,의미:,
delve into,예문:,"As I wrote here, though, there were one or two sub-plots beneath. They're worth delving into as we guess at what happens with Tesla in 2018."
derogatory,의미:,showing a critical or disrespectful attitude.
derogatory,예문:,she tells me I'm fat and is always making derogatory remarks
detangle,의미:,remove tangles from (hair).
detangle,예문:,we need to detangle the contract of marriage from the state
detract from,의미:,"to reduce the strength, value, or importance of (something)"
detract from,예문:,They worried that the scandal would seriously detract from her chances for reelection
"disingenuous(conf. ingenuous, ingenious)",의미:,"not candid or sincere, typically by pretending that one knows less about something than one really does."
"disingenuous(conf. ingenuous, ingenious)",예문:,"that innocent, teary-eyed look is just part of a disingenuous act"
disparage,의미:,
disparage,예문:,"Doing femininity, however, also disadvantages women because femininity is overtly disparaged and disempowering"
dispense,의미:,manage without; get rid of.
dispense,예문:,"let's dispense with the formalities, shall we?"
dissect,의미:,analyze (something) in minute detail.
dissect,예문:,"Jason Calacanis dissects Tesla’s big event, Apple’s HomePod delay, and Stitch Fix’s IPO."
divvy up,의미:,divide up and share.
divvy up,예문:,they divvied up the proceeds
double down on,의미:,"to become more tenacious, zealous, or resolute in a position or undertaking"
double down on,예문:,"For GE, the deal represented a doubling down on fossil fuels, even as renewable sources of energy, like solar, were gaining popularity."
double down on,예문:,the administration needs to double down on the call for political reform?Washington Post
double speak,의미:,"Doublespeak is a language that deliberately obscures, disguises, distorts, or reverses the meaning of words. Doublespeak may take the form of euphemisms, in which case it is primarily meant to make the truth sound more palatable"
double speak,예문:,I'm sorry I'm not as well practiced at corporate doublespeak as you'd like
down payment,의미:,an initial payment made when something is bought on credit.
down payment,예문:,"The company accepted $40,000 down"
downplay,의미:,make (something) appear less important than it really is.
downplay,예문:,"Flannery has downplayed accounting concerns, telling CNBC, ""There is no accounting issue. ... No one's been had."""
due,의미:,(the usage is different)
due,예문:,"Upon sale of the merchandiese, the consignee has a liability for the net amount due the consignor"
dumb it down,의미:,"to lower the level of difficulty and the intellectual content of (something, such as a textbook)"
dumb it down,예문:,Increasing the readability is not the same as dumb it down
easy to fail,의미:,"the way you are handling this kid, you are on a slippery slope. the parent could get angry"
easy to fail,예문:,ex: i'm on a slippery slope
ebb and flow(썰물 밀물),의미:,a recurrent or rhythmical pattern of coming and going or decline and regrowth.
ebb and flow(썰물 밀물),예문:,The ebb and flow of gender is a persistent feature of elementary education.?
echelon,의미:,
efficacious,의미:,(typically of something inanimate or abstract) successful in producing a desired or intended result; effective.
efficacious,예문:,Novophage’s solution of combining antibiotic and enhanced bacteriophages promises to be more efficacious for similar side effects or less toxic by lowering the necessary dose of a toxic antibiotic such as vancomycin
eminent domain,의미:,"the right of a government or its agent to expropriate private property for public use, with payment of compensation."
emulate,의미:,
emulate,예문:,"Men simply do not aspire to be women or to emulate women, and whatever women are, men will seek to be anything other"
encroach,의미:,
encroach,예문:,"I know it looks like I'm encroaching on men's territory, but be assured that I know my place as a woman"
encumbrance,의미:,"In accounting, an amount of money that one is required to spend on a stated thing in the future. For example, a portion of the proceeds of a sale may be encumbered to pay for the cost of goods sold."
encumbrance,예문:,"assumption of any liens, mortgages, or encumbrances on the property; and"
equivocation,의미:,the use of ambiguous language to conceal the truth or to avoid committing oneself
equivocation,예문:,"Avoid hedging and equivocating: Not: ""it is with regret that we acknowledge that we do not appear at this time to be in a position to extend an offer of employemnt."" But instead: ""We're sorry to say that we aren't now hiring."
equivocation,예문:,I say this without equivocation
err[er]on the side of caution,의미:,"To err on the side of something, such as caution, is to use or show more of it than may be needed so that you can be sure that you are using or showing enough of it."
err[er]on the side of caution,예문:,"25 people have replied to the invitation, but I've erred on the side of caution and put out 30 chairs."
Eschew,의미:,deliberately avoid using; abstain from.
Eschew,예문:,"The company has drastically reduced rent and labor expenses, eschewing bus terminals for city-center curbside pickup, and customers pay extra to order tickets from an agent"
Eschew,예문:,"Women can adopt a wider range of interests, activities, and behaviors, while men are constrained by the imperative to eschew femininity most of the time"
evangelical,의미:,of or according to the teaching of the gospel or the Christian religion.
evangelical,예문:,"Now, two new exchange traded funds offer a conservative evangelical ? what is called “biblically responsible” ? tilt to that investing approach."
exogenous,의미:,relating to or developing from external factors.
exogenous,예문:,exogenous factors
expand on something,의미:,to give more details
expand on something,예문:,can you expand on it?
exposing insecurities,의미:,"흑역사?, vices"
expropriation,의미:,
expropriation,예문:,Losses from an expropriation of assets ?
extortion,의미:,"the practice of obtaining something, especially money, through force or threats."
extortion,예문:,I don't take to extortion
extrapolation,의미:,the action of estimating or concluding something by assuming that existing trends will continue or a current method will remain applicable.
extrapolation,예문:,"extrapolation of current trends, expectations and plans"
Falafel,의미:,"Middle Eastern food.Falafel or felafel is a deep-fried ball, doughnut or patty made from ground chickpeas, fava beans, or both."
Fallout,의미:,the adverse side effects or results of a situation.
Fallout,예문:,"The deadline comes due, so they are trying to truncate the negotiation. But it's hard to tell whether they could manage something significant in that time frame."
farce,의미:,a comic dramatic work using buffoonery and horseplay and typically including crude characterization and ludicrously improbable situations.
farce,예문:,the proposed legislation is a farce and a sham
fastidious,의미:,very attentive to and concerned about accuracy and detail.
fastidious,예문:,"Back when journalists were somewhat more fastidious with the language than they are today, newspaper editors often kept an index expurgatorius."
figure of speech,의미:,a word or phrase used in a non-literal sense for rhetorical or vivid effect.
flake,의미:,"(verb, oftenly used with ""out"") - To decide not to go at the last second; To ""ditch"" or ""bail out."""
flake,예문:,"Dude, don't flake last minute, squid"
flamboyant,의미:,"Flamboyant means elaborate and ostentatious. When you think of flamboyant, think of Las Vegas showgirls: feathers, sequins, three-inch heels, enough make-up to disguise any irregularity."
flamboyant,예문:,flamboyant costume
Flash in the pan,의미:,
Flash in the pan,예문:,Do you think its more of a flash in the pan that is likely to fade away soon?
Flesh out,의미:,"Think of fleshing out a skeleton. To flesh out something is to give it substance, or to make it fuller or more nearly complete."
Flesh out,예문:,"The second draft, fleshes out much that was unclear about the first draft"
Flesh out,예문:,we have to flesh it out too
fluff,의미:,mashmallow jam stuff
fluid,의미:,smoothly elegant or graceful.
fluid,예문:,The single most important element in fluid writing is the use of effective transitions between sentences and paragraphs.
focus in on,의미:,"The words “focus in on” are a phrasal verb, meaning to direct one’s attention on something. In short, to concentrate. Just like when you use a camera with a focusing lens, you turn the lens to bring something into sharp focus ? so you’re focusing in on some part of the scene."
follow suit,의미:,conform to another's actions.
follow suit,예문:,"when some companies make the switch, their peers likely follow suit to enhance comparability for financial statement users"
follow through on A,의미:,to continue doing something until it has been completed
follow through on A,예문:,Voters will expect Washington to follow through on its promises.
for what it's worth,의미:,said when you are giving someone a piece of information and you are not certain if that information is useful or important
for what it's worth,예문:,"Diamonds, for what it's worth, haven't always been a girl's best friend"
foreskin,의미:,the retractable roll of skin covering the end of the penis.
forfeit,의미:,lose or be deprived of (property or a right or privilege) as a penalty for wrongdoing.
forfeit,예문:,sales discounts forfeited
Fringe,의미:,"not part of the mainstream; unconventional, peripheral, or extreme."
Fringe,예문:,Fringe benefit
full-fledged,의미:,completely developed or established; of full status.
full-fledged,예문:,"The second draft, a full-fledged revision, fleshes out much that was unclear about the first draft"
gawky,의미:,
gawky,예문:,"Well, first of all, you wear this uniform, which is really big on you, so it’s very gawky"
get hung up on,의미:,to be extremely interested in or worried by a particular subject and spend an unreasonably large amount of time thinking about it
get hung up on,예문:,Don't get hung up on the size of the problem
get it over with,의미:,complete an unpleasant or tedious but necessary task promptly.
get it over with,예문:,"come on, let's get it over with"
get somebody up in arms,의미:,protesting vigorously about something.
get somebody up in arms,예문:,China is up in arms about US's opposition.
get somebody up in arms,예문:,The new school tests got teachers up in arms
get someone off,의미:,To please greatly; move and excite
get someone off,예문:,Maybe its the chase that really gets me off
get something down,의미:,To be or become proficient at (doing) something
get something down,예문:,"I know the music is difficult to play, so you just have to keep practicing until you get it down"
get spun up,의미:,"aggitated, upset"
get spun up,예문:,I don't understand why people get spun up on stupid things
get the best of someone,의미:,to defeat someone or gain an advantage over them
get the best of someone,예문:,Not seeing the rest of you is getting the best of me
getting the wind knocked out of you,의미:,
gloat,의미:,"to look at or think about with great or excessive, often smug or malicious, satisfaction"
gloat,예문:,"You can gloat, but you have to not suck at it"
go about,의미:,to do something that you normally do in your usual way
go about,예문:,"There were no further reports of violence in the town, and most people went about their daily activities as usual."
go to great lengths,의미:,to use a lot of effort to get or achieve something
go to great lengths,예문:,We went to great lengths to make sure the votes were counted correctly.
going off of that,의미:,And then there it is ? you raised your hand. Someone on the other side of the room finishes making their comment about that day’s reading and the professor calls on you next. To keep the dialogue flowing you introduce your thought with the phrase “going off of that previous point” and then you offer an affirmation of the prior thought while adding your own opinion to it
grant dollars,의미:,
grant dollars,예문:,The newly operational U.S.-India Clean Energy Finance program will leverage grant dollars to mobilize financing for early-stage solar companies.
grapple with,의미:,to try hard to understand a difficult idea or to solve a difficult problem
grapple with,예문:,The government continued to grapple with the issue of public transportation.
green-light,의미:,"give permission to go ahead with (a project, especially a movie)."
green-light,예문:,"The decision is a victory for President Trump, who green-lighted the project back in March, as well as TransCanada (+1.31%), the company behind the infrastructure fiasco. One caveat: the commission ruled Keystone XL will have to follow an alternative path to the one initially proposed."
grimacing,의미:,"makingan ugly, twisted expression on a person's face, typically expressing disgust, pain, or wry amusement."
grimacing,예문:,"The media coverage of sports keeps a raw, grimacing, bulging, powerful male body front and center in our culture."
gunslinger,의미:,gunfighter
gunslinger,예문:,You are not a gunslinger anymore
gush,의미:,speak or write with effusiveness or exaggerated enthusiasm.
gush,예문:,You are the protege that Harvey gushed about.
gynecologist,의미:,a physician or surgeon qualified to practice gynecology.
hall,의미:,a large room for assembly
hall,예문:,Its grand manufacturing halls take up almost as much space as 21 football fields.
Hands down 틀림없다(with the motion),의미:,
haul,의미:,(of a person) pull or drag with effort or force.
haul,예문:,he hauled his bike out of the shed
hedgehog,의미:,고슴도치
Henceforth,의미:,
Henceforth,예문:,"How many people would really have get off facebook to really make an impact in the usage numbers, which would henceforth have an impact in the company's advertising business"
herein,의미:,"You can use herein to refer back to the situation or fact you have just mentioned, when saying it is something such as a problem or reason for something."
herein,예문:,The point is that people grew unaccustomed to thinking and acting in a responsible and independent way. Herein lies another big problem.
hermit,의미:,one that retires from society and lives in solitude especially for religious reasons
hermit,예문:,"even the hermit will buy a few things to get along and, in any case, he or she can't help but draw on knowledge acquired through institutions like schools, families, publishin,g and the mass media."
hick,의미:,"a person who lives in the country, regarded as being unintelligent or provincial."
hitch,의미:,a temporary interruption or problem.
hitch,예문:,"ex) There is a $20trn hitch, though. To get from here to there requires huge amounts of investment over the next few decades, to replace old smog-belching power plants and to upgrade the pylons and wires that bring electricity to consumers."
hog,의미:,(informal)keep or use all of (something) for oneself in an unfair or selfish way.
hog,예문:,You are hogging the wifi
hold out on (informal),의미:,"refuse to give something, typically information, to (someone)."
hold out on (informal),예문:,It's funny you held out on me on that proper notice exception.
hunch,의미:,a feeling or guess based on intuition rather than known facts.
hunch,예문:,"We have a hunch that Musk would be happy to top this with another novelty, especially since the company's first tunnels won't see service for a while."
hypochondria,의미:,"abnormal anxiety about one's health, especially with an unwarranted fear that one has a serious disease."
hypochondria,예문:,hypochondriac is a person who worries too much about his or her health.
if it's not too much asking,의미:,
if it's not too much asking,예문:,"If it's not too much asking, could you write another example to see if I can get it?"
impasse,의미:,"a situation in which no progress is possible, especially because of disagreement; a deadlock."
impasse,예문:,"With increasing levels of antibiotic resistance, an insecure pipeline, and a dwindling number of companies investing in anti?infective agents, we have reached an unsettling impasse in medicine"
imperative,의미:,
imperative,예문:,Schwartz's comments reflect the exhaustion women sometimes feel at the imperative to balance masculine achievements with feminine performances.
impute,의미:,assign (a value) to something by inference from the value of the products or processes to which it contributes.
impute,예문:,"Assuming that an interest rate of 10% is imputed from the agreement, the comapny makes the following entries to record this agreement."
in a shambles,의미:,in a messy state; destroyed
in a shambles,예문:,its power business is in a shambles.
in the making,의미:,in the process of developing or being made.
in the making,예문:,hey are criminals in the making
in the making,예문:,"The crunch has been years in the making, but only recently has Wall Street come to grips with how bad it is."
incessant,의미:,(of something regarded as unpleasant) continuing without pause or interruption.
incessant,예문:,the incessant beat of the music
incest,의미:,sexual relations between people classed as being too closely related to marry each other.
inclement,의미:,unpleasantly cold or wet.
inclement,예문:,We are expecting inclement weather.
inclusive,의미:,"including or covering all the services, facilities, or items normally expected or required."
inclusive,예문:,An incredible online resource is now available to help pre-teens and young teens alike have access to inclusive sex education and information about the changes their bodies experience with puberty.
incumbent,의미:,one that occupies a particular position or place
incumbent,예문:,"For example, in the 2012 United States presidential election, Barack Obama was the incumbent, because he had been the president in the previous term while the election sought to determine the president for the current term. A race without an incumbent is referred to as an open seat."
ingenious,의미:,"(of a person) clever, original, and inventive."
ingenious,예문:,he was ingenious enough to overcome the limited budget
ingenuity,의미:,"(발음 헷갈림,?inj??n(y)o?o?d?)the quality of being clever, original, and inventive."
ingenuity,예문:,The safest course is to use some ingenuity to write in an invisible gender-neutral way.
innocuous,의미:,not harmful or offensive
innocuous,예문:,ex) it was an innocuous question
insofar as,의미:,"used for talking about the degree to which something happens, or the situation in which something happens"
insofar as,예문:,She cites other scholars’ work only insofar as it supports her own theories.
intertwine,의미:,connect or link (two or more things) closely.
intertwine,예문:,I suggested intertwining your reflection with your summary as opposed to separating the summary and reflection.
into the future(앞으로),의미:,
into the future(앞으로),예문:,You will need to bring your passport that is valid at least 6 months into the future
intrepid,의미:,fearless; adventurous (often used for rhetorical or humorous effect).
intrepid,예문:,"if you, an intrepid first grader, were to arrive at one of these schools, you would quickly learn when and how gender was important."
inundate,의미:,overwhelm (someone) with things or people to be dealt with.
inundate,예문:,we've been inundated with complaints from listeners
invoke,의미:,cite or appeal to (someone or something) as an authority for an action or in support of an argument.
invoke,의미:,"to make a particular idea, image, or feeling appear in people’s minds by describing an event or situation, or by talking about a person"
invoke,예문:,"During his speech, he invoked the memory of Harry Truman"
invoke,예문:,"ex) As funds invoke God, some see bias."
irrevocable,의미:,
irrevocable,예문:,IFRS and U.S. GAAP give firms the irrevocable option to report debt at fair value.
it bode well for,의미:,"The verb bode suggests forecasting. Something bodes well when the clues or signs imply a favorable outcome. But if something bodes ill, you’d better watch out!"
it bode well for,예문:,This does not bode well for the future of the peace process.
it's incumbent on us to find,의미:,
it's true of A no less than it's true of B,의미:,
it's true of A no less than it's true of B,예문:,It's true of syntax no less than it's true of eating or anything else
judicious,의미:,"having, showing, or done with good judgment or sense."
judicious,예문:,They can make more judiscious decision
judiciously,의미:,with good judgment or sense.
judiciously,예문:,"Readers find acronyms tiresome, especially ones they're not familiar with. So use them judiciously."
kickback,의미:,"a get-together consisting of close friends, partying and drinking."
kickback,예문:,We are having a small kick back at Shanee's like 10 of us max. Just to hang out before finals
Learned,의미:,"(과거분사형, 발음주의)"
left and right,의미:,From or on all sides; from multiple places or sources; with great frequency.
left and right,예문:,"Don't cut the important word that left and right - more often than not, you really need it to be clear."
leg,의미:,a section or stage of a journey or process.
leg,예문:,"It is converted back into a wireless signal to traverse the final leg, from tower to the recipient's phone."
legibly,의미:,"capable of being read or deciphered,"
let's pick up on tuesday,의미:,
levy,의미:,"impose (a tax, fee, or fine)."
levy,예문:,a new tax could be levied on industry to pay for cleaning up contaminated land
levy,예문:,Funds for these payments come from taxes levied on both the employer and the employee
levy,예문:,a new tax could be levied on industry to pay for cleaning up contaminated land
lexicon,의미:,
lien,의미:,a right to keep possession of property belonging to another person until a debt owed by that person is discharged.
lien,예문:,"assumption of any liens, mortgages, or encumbrances on the property; and"
